step,raw,ln,ln_stats
1,1.6892118453979492,1.6892118453979492,1.6892118453979492
100,1.2279905080795288,1.0856636762619019,1.0853240489959717
200,1.0651222467422485,1.074187159538269,1.0737636089324951
300,0.9781045913696289,0.9834710359573364,0.98329097032547
400,0.9418334364891052,0.9557292461395264,0.9555593729019165
500,0.8840162754058838,0.897918701171875,0.8978789448738098
600,0.9168339967727661,0.9248027801513672,0.924768328666687
700,0.886728823184967,0.8941152691841125,0.8942527770996094
800,0.9260920882225037,0.9208196401596069,0.9207075834274292
900,0.8691706657409668,0.8738642930984497,0.8738750219345093
1000,0.9068570137023926,0.9141634702682495,0.9141057133674622
1100,0.9290053248405457,0.9328958988189697,0.9328858852386475
1200,0.9819966554641724,0.9917927980422974,0.9915319681167603
1300,0.9769372940063477,0.9900429248809814,0.9899556636810303
1400,0.8897839784622192,0.8918124437332153,0.89167320728302
1500,0.9486805200576782,0.9552807807922363,0.9552006721496582
1600,0.9160404801368713,0.9232121706008911,0.9231315851211548
1700,0.8985528945922852,0.9095185995101929,0.9096319675445557
1800,1.0077507495880127,1.0115011930465698,1.011521339416504
1900,0.8716177940368652,0.8799570798873901,0.8798718452453613
2000,0.8939058184623718,0.9015871286392212,0.9014893770217896
2100,0.8895204067230225,0.8951764106750488,0.8951114416122437
2200,0.9226076006889343,0.9278815388679504,0.9278509616851807
2300,0.8893064260482788,0.8973380327224731,0.8973702192306519
2400,0.9124710559844971,0.9185263514518738,0.9183944463729858
2500,0.848047137260437,0.8579233884811401,0.8578046560287476
2600,0.93027663230896,0.9362936019897461,0.9362998604774475
2700,0.9954327344894409,0.9999017715454102,0.999916136264801
2800,0.9071389436721802,0.9103431701660156,0.9102824926376343
2900,0.8115754723548889,0.8160851001739502,0.8161128759384155
3000,0.8584381341934204,0.8639956116676331,0.8640050888061523
