time,head,comparison,extra_explained,paired_bootstrap_low,paired_bootstrap_high,images,bootstrap_draws,fixed_fit,exploratory
0.15,depth4_v,clt_minus_nuisance,0.2439286411721715,0.20790458620155114,0.2827129577973855,64,2000,True,True
0.15,depth4_v,clt_minus_heat,0.23898898941695826,0.2047237837346361,0.27411486054374795,64,2000,True,True
0.15,depth4_v,clt_minus_plain_mix,0.18697372900059092,0.14943085870280737,0.22285559256364143,64,2000,True,True
0.15,depth4_v,clt_minus_factor,0.187037089314506,0.15437786065846099,0.22013183920592022,64,2000,True,True
0.15,depth6_v,clt_minus_nuisance,0.18953315561143472,0.1522354541137398,0.22546717612317535,64,2000,True,True
0.15,depth6_v,clt_minus_heat,0.18597089613161055,0.14966716356860252,0.22071495822494325,64,2000,True,True
0.15,depth6_v,clt_minus_plain_mix,0.15399177460415106,0.11716784158242521,0.1911441660380642,64,2000,True,True
0.15,depth6_v,clt_minus_factor,0.15283016593937368,0.1197124559213,0.1845385374078231,64,2000,True,True
0.15,depth10_v,clt_minus_nuisance,0.04863276079904929,0.027871988279063016,0.070804182248964,64,2000,True,True
0.15,depth10_v,clt_minus_heat,0.04855470856164452,0.027865893431205036,0.07061267453947523,64,2000,True,True
0.15,depth10_v,clt_minus_plain_mix,0.04442296282928717,0.022527826451071216,0.06522098018040286,64,2000,True,True
0.15,depth10_v,clt_minus_factor,0.039050409439283236,0.019491929027182553,0.058902447744537074,64,2000,True,True
0.5,depth4_v,clt_minus_nuisance,0.35489989444481596,0.3019487921484557,0.3943932817674985,64,2000,True,True
0.5,depth4_v,clt_minus_heat,0.2740091350810579,0.24683571367513418,0.2970956634981242,64,2000,True,True
0.5,depth4_v,clt_minus_plain_mix,0.008161815901982469,-0.007034282111844374,0.021785469252887955,64,2000,True,True
0.5,depth4_v,clt_minus_factor,0.29555415598554236,0.25108459468678235,0.3290507918634861,64,2000,True,True
0.5,depth6_v,clt_minus_nuisance,0.31460991302471547,0.27113231813013217,0.34818390249793024,64,2000,True,True
0.5,depth6_v,clt_minus_heat,0.23412922820883247,0.21016054111059235,0.25390508389178595,64,2000,True,True
0.5,depth6_v,clt_minus_plain_mix,-0.005335056436381159,-0.01938674263307915,0.008360250240070718,64,2000,True,True
0.5,depth6_v,clt_minus_factor,0.2680256345515183,0.2303267649798761,0.2960023909350831,64,2000,True,True
0.5,depth10_v,clt_minus_nuisance,0.09801329935381707,0.08793852784355018,0.1088574585076725,64,2000,True,True
0.5,depth10_v,clt_minus_heat,0.0625618513110954,0.054535728339007494,0.070841486024319,64,2000,True,True
0.5,depth10_v,clt_minus_plain_mix,-0.010087072985715085,-0.018879374946882542,-0.0023207273360431,64,2000,True,True
0.5,depth10_v,clt_minus_factor,0.08741735981218009,0.07961860542419866,0.09619643779405096,64,2000,True,True
0.85,depth4_v,clt_minus_nuisance,0.09082626573536917,0.07825310530101087,0.1040638619594746,64,2000,True,True
0.85,depth4_v,clt_minus_heat,0.051017862615094514,0.042568891623633885,0.059353239198212344,64,2000,True,True
0.85,depth4_v,clt_minus_plain_mix,0.03017331317711406,0.022045485356512885,0.03898897079758,64,2000,True,True
0.85,depth4_v,clt_minus_factor,0.08480186739777339,0.07311163074789852,0.09725992260278316,64,2000,True,True
0.85,depth6_v,clt_minus_nuisance,0.09047015276825175,0.07846644240437844,0.10300585130162015,64,2000,True,True
0.85,depth6_v,clt_minus_heat,0.048912875515796435,0.040640313170194745,0.056677850673011995,64,2000,True,True
0.85,depth6_v,clt_minus_plain_mix,0.03076423318745561,0.022892306218056938,0.03914176701618438,64,2000,True,True
0.85,depth6_v,clt_minus_factor,0.08536697503734178,0.07408407707274649,0.09721803904236583,64,2000,True,True
0.85,depth10_v,clt_minus_nuisance,0.04134056241162852,0.03302353887164083,0.05032454581253967,64,2000,True,True
0.85,depth10_v,clt_minus_heat,0.017816792240893064,0.011407322695211325,0.024666105816986354,64,2000,True,True
0.85,depth10_v,clt_minus_plain_mix,0.007746257429717485,0.00416241108639582,0.011322737450633993,64,2000,True,True
0.85,depth10_v,clt_minus_factor,0.03857806855903627,0.03086561104429689,0.047138290063814106,64,2000,True,True
